"","player_name","TEAM","POSITION","AGE","PTS","FGM","FG%","3PM","3P%","FTA","FT%","ORB","DRB","AST","TOV","STL","BLK","player_rank"
"1","Nikola Jokic","DEN","BIG",28,24.5,9.3,0.632,0.8,0.402,6.1,0.826,2.2,9.4,10,3.6,1.3,0.7,1
"2","Giannis Antetokounmpo","MIL","BIG",28,31.3,11.1,0.538,0.8,0.27,12.7,0.646,2.3,9.7,5.4,3.9,0.8,0.8,2
"3","Luka Doncic","DAL","GUARD",23,33.2,11.2,0.505,2.7,0.347,11.1,0.734,0.9,7.9,8.2,3.6,1.5,0.5,3
"4","Stephen Curry","GSW","GUARD",34,29.4,9.8,0.495,4.9,0.427,5.4,0.922,0.6,5.8,6.4,3.2,1,0.4,4
"5","Kevin Durant","PHX","FORWARD",34,29.7,10.5,0.559,1.8,0.376,7.3,0.934,0.4,6.4,5.3,3.5,0.8,1.5,5
"6","Joel Embiid","PHI","BIG",28,33.1,11,0.531,1.1,0.34,11.8,0.858,1.8,8.6,4.1,3.5,1.1,1.6,6
"7","Jayson Tatum","BOS","FORWARD",24,30.4,9.9,0.461,3.3,0.355,8.5,0.864,1.1,7.6,4.6,2.9,1,0.8,7
"8","LeBron James","LAL","FORWARD",38,29.6,11.3,0.503,2.2,0.31,6.3,0.76,1.2,7.3,7,3.1,0.9,0.5,8
"9","Kawhi Leonard","LAC","FORWARD",31,22.7,8.3,0.506,1.8,0.396,5,0.874,1.2,4.9,4,1.5,1.4,0.6,9
"10","Shai Gilgeous-Alexander","OKC","GUARD",24,31,10.2,0.507,0.9,0.338,10.6,0.908,0.9,3.9,5.7,2.9,1.6,1.1,10
"11","Devin Booker","PHX","GUARD",26,26.5,9.5,0.474,2.2,0.351,6.2,0.853,0.8,3.8,5.6,2.5,0.9,0.4,11
"12","Damian Lillard","POR","GUARD",32,31.4,9.5,0.467,4.2,0.372,9.1,0.916,0.6,3.7,7.3,3.2,0.8,0.3,12
"13","Donovan Mitchell","CLE","GUARD",26,27,9.4,0.476,3.6,0.382,5.3,0.876,0.9,3.1,4.8,2.7,1.5,0.4,13
"14","Ja Morant","MEM","GUARD",23,27,9.6,0.463,1.6,0.317,8.4,0.741,1.1,4.8,8.1,3.5,1.1,0.3,14
"15","Zion Williamson","NOP","BIG",22,26,9.8,0.608,0.2,0.368,8.6,0.714,2,5,4.6,3.4,1.1,0.6,15
"16","Anthony Davis","LAL","BIG",29,25.6,9.6,0.562,0.4,0.25,7.3,0.817,3.3,9.1,2.5,2.1,1.1,2,16
"17","Jimmy Butler","MIA","FORWARD",33,21.9,7.2,0.515,0.5,0.312,8.2,0.847,2.2,3.7,5,1.7,1.9,0.3,17
"18","Paul George","LAC","FORWARD",32,23.5,8.1,0.461,3,0.388,4.9,0.869,0.7,5.5,5.2,3.3,1.4,0.4,18
"19","Tyrese Haliburton","IND","GUARD",22,19.8,7.1,0.482,2.9,0.399,3.1,0.865,0.6,3,10.2,2.6,1.7,0.4,19
"20","James Harden","PHI","GUARD",33,21.6,6.6,0.452,2.9,0.393,6.5,0.864,0.5,5.7,10.7,3.4,1.2,0.6,20
