player_name,picture_file_name,picture_file_path
Nikola Jokic,NikolaJokic-small.png,nba_player_pics/NikolaJokic-small.png
Giannis Antetokounmpo,GiannisAntetokounmpoM-small.png,nba_player_pics/GiannisAntetokounmpoM-small.png
Luka Doncic,LukaDoncicM-small.png,nba_player_pics/LukaDoncicM-small.png
Stephen Curry,StephCurryM-small.png,nba_player_pics/StephCurryM-small.png
Kevin Durant,KevinDurant2-small.png,nba_player_pics/KevinDurant2-small.png
Joel Embiid,JoelEmbiidM-small.png,nba_player_pics/JoelEmbiidM-small.png
Jayson Tatum,JaysonTatumM-small.png,nba_player_pics/JaysonTatumM-small.png
LeBron James,LebronJamesM-small.png,nba_player_pics/LebronJamesM-small.png
Kawhi Leonard,KawhiLeonardM-small.png,nba_player_pics/KawhiLeonardM-small.png
Shai Gilgeous-Alexander,ShaiGilgeous-AlexanderM-small.png,nba_player_pics/ShaiGilgeous-AlexanderM-small.png
Devin Booker,DevinBookerM-small.png,nba_player_pics/DevinBookerM-small.png
Damian Lillard,DamianLillard-small.png,nba_player_pics/DamianLillard-small.png
Donovan Mitchell,DonovanMitchellM-small.png,nba_player_pics/DonovanMitchellM-small.png
Ja Morant,JaMorantM-small.png,nba_player_pics/JaMorantM-small.png
Zion Williamson,ZionWilliamsonM-small.png,nba_player_pics/ZionWilliamsonM-small.png
Anthony Davis,AnthonyDavis-small.png,nba_player_pics/AnthonyDavis-small.png
Jimmy Butler,JimmyButlerM-small.png,nba_player_pics/JimmyButlerM-small.png
Paul George,PaulGeorgeM-small.png,nba_player_pics/PaulGeorgeM-small.png
Tyrese Haliburton,TyreseHaliburtonM-small.png,nba_player_pics/TyreseHaliburtonM-small.png
James Harden,JamesHardenM-small.png,nba_player_pics/JamesHardenM-small.png
Pascal Siakam,PascalSiakamM-small.png,nba_player_pics/PascalSiakamM-small.png
Jaylen Brown,JaylenBrownM-small.png,nba_player_pics/JaylenBrownM-small.png
Domantas Sabonis,DomantasSabonisM-small.png,nba_player_pics/DomantasSabonisM-small.png
Kyrie Irving,KyrieIrving2-small.png,nba_player_pics/KyrieIrving2-small.png
Bam Adebayo,BamAdebayoM-small.png,nba_player_pics/BamAdebayoM-small.png
Trae Young,TraeYoungM-small.png,nba_player_pics/TraeYoungM-small.png
De'Aaron Fox,DeAaronFoxM-small.png,nba_player_pics/DeAaronFoxM-small.png
Anthony Edwards,AnthonyEdwardsM-small.png,nba_player_pics/AnthonyEdwardsM-small.png
Darius Garland,DariusGarlandM-small.png,nba_player_pics/DariusGarlandM-small.png
Lauri Markkanen,LauriMarkkanenM-small.png,nba_player_pics/LauriMarkkanenM-small.png
DeMar DeRozan,DeMarDeRozanM-small.png,nba_player_pics/DeMarDeRozanM-small.png
Jrue Holiday,JrueHolidayM-small.png,nba_player_pics/JrueHolidayM-small.png
Julius Randle,JuliusRandleM-small.png,nba_player_pics/JuliusRandleM-small.png
Brandon Ingram,BrandonIngramM-small.png,nba_player_pics/BrandonIngramM-small.png
Jaren Jackson Jr.,JarenJacksonJrM-small.png,nba_player_pics/JarenJacksonJrM-small.png
Desmond Bane,DesmondBaneM-small.png,nba_player_pics/DesmondBaneM-small.png
Karl-Anthony Towns,Karl-AnthonyTownsM-small.png,nba_player_pics/Karl-AnthonyTownsM-small.png
Jarrett Allen,JarrettAllenM-small.png,nba_player_pics/JarrettAllenM-small.png
Evan Mobley,EvanMobleyM-small.png,nba_player_pics/EvanMobleyM-small.png
Jalen Brunson,JalenBrunsonM-small.png,nba_player_pics/JalenBrunsonM-small.png
Khris Middleton,KhrisMiddletonM-small.png,nba_player_pics/KhrisMiddletonM-small.png
Draymond Green,DraymondGreenM-small.png,nba_player_pics/DraymondGreenM-small.png
Jamal Murray,JamalMurrayM-small.png,nba_player_pics/JamalMurrayM-small.png
Chris Paul,ChrisPaulM-small.png,nba_player_pics/ChrisPaulM-small.png
LaMelo Ball,LameloBallM-small.png,nba_player_pics/LameloBallM-small.png
Andrew Wiggins,AndrewWigginsM-small.png,nba_player_pics/AndrewWigginsM-small.png
Klay Thompson,KlayThompsonM-small.png,nba_player_pics/KlayThompsonM-small.png
Rudy Gobert,RudyGobertM-small.png,nba_player_pics/RudyGobertM-small.png
Mikal Bridges,MikalBridges2-small.png,nba_player_pics/MikalBridges2-small.png
O.G. Anunoby,OGAnunobyM-small.png,nba_player_pics/OGAnunobyM-small.png
Dejounte Murray,DejounteMurrayM-small.png,nba_player_pics/DejounteMurrayM-small.png
Aaron Gordon,AaronGordonM-small.png,nba_player_pics/AaronGordonM-small.png
Jerami Grant,JeramiGrantM-small.png,nba_player_pics/JeramiGrantM-small.png
Bradley Beal,BradleyBealM-small.png,nba_player_pics/BradleyBealM-small.png
Robert Williams III,RobertWilliamsM-small.png,nba_player_pics/RobertWilliamsM-small.png
Brook Lopez,BrookLopezM-small.png,nba_player_pics/BrookLopezM-small.png
Zach LaVine,ZachLavineM-small.png,nba_player_pics/ZachLavineM-small.png
